keywords,labels,weight,distance,range,Notes?,,
cyberattack cyberattacks && battle battles battling combat fight fighting fights fought,cyber-attack,-100,10,8,,,
cyberattack cyberattacks hack hacked hacker hackers hacking hacks && attempt attempts attempted,cyber-attack,-30,25,8,,,
cyberattacks cyber cyberattacked hacks hacking hacked && victim victims,cyber-attack,-120,15,8,,,
ddos,cyber-attack,-100,20,7,,,
fake && email emails mail mails,cyber-attack,-100,20,7,,,
got suffer suffered announced was been massive extraordinary large huge debilitating incredible sensitive private sensitive compromising embarrassing && hack hacked hacked,cyber-attack,-140,25,6,,,
hacked hack hacks hacking target targeted targets && ip && addresses address,cyber-attack,-140,20,3,,,
hacking hackers && community communities,cyber-attack,-120,25,5,,,
ics computer digital electronic internet && environment && attack target targeting targets attacked attacks attacking,cyber-attack,-70,20,7,,,
macro && virus,cyber-attack,-100,20,7,,,
macrovirus,cyber-attack,-100,20,7,,,
malicious && botnet internet link firmware,cyber-attack,-100,20,7,,,
ransomware malware && attack attacked hack hacked hacks hacking,cyber-attack,-80,20,7,,,
trojan,cyber-attack,-100,20,7,,,
worm && infiltrated infiltration infiltrate,cyber-attack,-100,20,7,,,
accounts app apps site website service services && iddos ddossed hijack hijacks hijacking hijacked,cyber-attack-loss-of-availability,-140,25,5,,,
bombards attack attacks attacked && data && center,cyber-attack-loss-of-availability,-100,20,7,,,
ransomware malware thunderspy,cyber-attack-loss-of-availability,-100,20,7,,,
access && token && manipulation,cyber-attack-loss-of-confidentiality,-100,20,7,,,
accounts app apps site website service services && infected tainted attacked leak leaks leaking leaked hacked hackers,cyber-attack-loss-of-confidentiality,-140,25,5,,,
binary && padding,cyber-attack-loss-of-confidentiality,-50,20,2,,,
hackers cyberattack cyberattacks cybercrime cybercrimes cybercriminals && data information details,cyber-attack-loss-of-confidentiality,-50,30,7,,,
identified identify identify && ip && addresses address,cyber-attack-loss-of-confidentiality,-80,20,4,,,
keylogger,cyber-attack-loss-of-confidentiality,-70,20,7,,,
offline && after && leak leakage leaks,cyber-attack-loss-of-confidentiality,-140,15,8,,,
phishing spearphishing,cyber-attack-loss-of-confidentiality,-150,20,7,,,
sniffing && attack attacks,cyber-attack-loss-of-confidentiality,-80,20,7,,,
spyware,cyber-attack-loss-of-confidentiality,-100,20,7,,,
unauthorized unauthorised unlawful unlawfully accidentally accidently && disclosure disclosed disclosing discloses release releases releasing released publish published publishes publishing confidential sensitive customers clients holidaymakers,cyber-attack-loss-of-confidentiality,-140,25,5,,,
whistleblower && shows show alleges alleging unveils unveiling reveal reveals revealing uncover uncovers uncovering divulges divulging divulge disclose discloses disclosing discovers discovering discovered discover describe describes describing expose exposes exposing obtains obtained obtaining unwrap unwraps unwrapping break breaks breaking report reports reporting publish publishes publishing public,cyber-attack-loss-of-confidentiality,-140,25,12,,,
security cyber cybersecurity accounts data internal computer systems file files document documents sensitive information report reports reported disclosure disclosures hack hacks hacking hackers hacker hacked vulnerability vulnerable customer customers client clients personal details printout printouts prints records && lose loses losing mislaid misplace misplaces misplacing flaw,"cyber-attack-loss-of-confidentiality
 
 unintentional-data-breach",-160,25,5,,,
security cyber cybersecurity accounts data internal computer systems file files case document documents sensitive  report reports reported disclosure disclosures hack hacks hacking hackers hacker hacked vulnerability vulnerable customer customers client clients credentials database databases records && leak leaks leaked leaking breach breaches breached compromise compromised endangered questioned questionable insecure unprotected assault assaulted assaults mistakenly heist heists victim victims exposed,"cyber-attack-loss-of-confidentiality 
 
 unintentional-data-breach",-100,25,5,,,
cyber && terrorism terrorist terrorists terror,cyber-terrorism,-110,25,8,,,
cyberterrorism cyberterrorist,cyber-terrorism,-110,25,8,,,
affects affected && customer customers people employee employees people && privacy security hack hacked hackers hacker,cyber-vulnerability,-100,25,5,,,
attack && vector vectors,cyber-vulnerability,-100,20,7,,,
common && vulnerabilities && exposures exposure exposed,cyber-vulnerability,-100,15,7,,,
intrusion intruded intruder intruders && system,cyber-vulnerability,-80,20,7,,,
it computer internet electronic digital && vulnerabilities surveillance,cyber-vulnerability,-50,20,7,,,
open && source && vulnerabilities,cyber-vulnerability,-100,20,7,,,
open vulnerable sensitive && to for && hacking,cyber-vulnerability,-140,25,5,,,
owasp && list lists,cyber-vulnerability,-50,20,7,,,
password passwords && vulnerabilities,cyber-vulnerability,-80,20,7,,,
penetration pen && testing test,cyber-vulnerability,-1,20,7,,,
reconnaissance recon && attack vulnerability vulnerabilities,cyber-vulnerability,-50,15,5,,,
security && warning,cyber-vulnerability,-70,15,6,,,
security cyber cybersecurity && data information details,cyber-vulnerability,-30,25,4,,,
threat && hunting,cyber-vulnerability,-100,20,7,,,
unsecured unsecure && database server,cyber-vulnerability,-100,30,5,,,
zero && day && exploit exploits exploited,cyber-vulnerability,-100,20,7,,,
vulnerability vulnerabilities && customers clients employees && at && risk,"cyber-vulnerability
 
 operational-risk-general",-100,10,7,,,
cyber cybersecurity accounts data internal computer systems file files case document documents sensitive information report reports reported disclosure disclosures hack hacks hacking hackers hacker hacked vulnerability vulnerable  credentials database databases records && attack attacks attacked,"cyber-vulnerability 
 
 cyber-attack-loss-of-confidentiality",-150,25,5,,,
security && attack attacks attacked,"cyber-vulnerability 
 
 cyber-attack-loss-of-confidentiality",-150,25,1,,,
2fa,data-protection,-1,20,7,,,
anti && virus,data-protection,-1,20,7,,,
antivirus,data-protection,-1,20,7,,,
baas,data-protection,-1,15,7,,,
backup && as && service,data-protection,-1,20,7,,,
computer && security && expert experts,data-protection,-1,30,5,,,
computer internet electronic digital && security securities,data-protection,-50,20,7,,,
computer it internet electronic digital && forensics surveillance,data-protection,-80,20,7,,,
cve,data-protection,-100,20,7,,,
cyberattack cyberattacks && avert averted averts avoid avoided avoiding avoids prevent prevented preventing prevention solutions solve solved solving,data-protection,-100,10,8,,,
data && authority protection,data-protection,-50,15,7,,,
data && protecting protection,data-protection,-1,15,3,,,
devices && to && counter,data-protection,-1,20,4,,,
ethical && hacking hack,data-protection,-1,20,7,,,
firewall,data-protection,-1,20,7,,,
ftc mandated && privacy,data-protection,-20,15,3,,,
honeypot,data-protection,-1,5,7,,,
honeypots,data-protection,-1,20,7,,,
intruder intruders intrusion && detection && systems system,data-protection,-1,20,3,,,
infosec infosecurity,data-protection,-80,20,7,,,
internet && governing && law laws,data-protection,-40,15,3,,,
it && security securities,data-protection,-1,20,2,,,
passwordless,data-protection,-1,20,7,,,
patent ip intellectual && issue issues infringe infringement infringements infringes infringed infringing,data-protection,-140,25,8,,,
protect protecting protection protects safeguard safeguarded safeguarding safeguards secure secured secures securing streamline streamlined streamlines streamlining && iot && connection connectivity device devices manage management managing option options solution solutions technologies technology,data-protection,-1,15,5,,,
red blue && team,data-protection,-1,20,1,,,
security && information && event && management,data-protection,-1,20,3,,,
security && verification verifications,data-protection,-1,20,7,,,
not no failed failing fails && going && concern,liability-problems,-150,25,5,,,
civil && rehabilitation,liability-problems,-150,25,5,,,
judicial && recovery,liability-problems,-120,20,5,,,
asset assets && liability liabilities,liability-problems,-40,15,2,,,
appointed appoints appointing && receiver trustee administrator,chapters,-80,20,3,,,
siem ids && system systems,data-protection,-1,20,2,,,
two && factor step && verification authentication,data-protection,-1,15,3,,,
unified && threat && management,data-protection,-1,20,4,,,
